camels_group,target,model,NSE_mean,NSE_sd,KGE_mean,KGE_sd,RMSE_mean,RMSE_sd,PBIAS_mean,PBIAS_sd
huc01,01022500,local_lstm,0.7810980939341915,0.009551211931101509,0.7037675653858724,0.01077997694004738,322.1689855144129,7.073139664249936,-10.259261111883587,0.36169762803251193
huc01,01022500,source_only,0.5630311252109714,0.016498466830257408,0.7578101219492218,0.040955460728448315,455.20060308008505,8.556788904744252,4.733681459576048,11.375424492299675
huc01,01022500,finetune_lstm,0.8428030971820272,0.008144860157207709,0.7863547604914195,0.013685562513767712,272.9942267693828,7.0766225900277755,-7.706846861767377,0.5254697503281209
huc01,01022500,regional_lstm,0.8523679139167188,0.0024809552850496505,0.8680291276306904,0.01813593775179414,264.61157207712307,2.228812756720247,-2.3077447493032266,0.6847393423089942
huc01,01022500,daf_shared_v,0.8470427377673079,0.006061844188889416,0.8308907234797768,0.03977412505060492,269.3127067288215,5.341068969453746,-3.6479929555167883,3.7797442205400777
huc01,01022500,daf,0.8492326249276209,0.0024223783002775795,0.8344766301629924,0.04064688522107973,267.40718194609144,2.1484539811848733,-1.9309954363768853,4.809175269588693
huc01,01144000,local_lstm,0.5311070944558111,0.013927088186172509,0.5470760681024202,0.020760061044113983,1234.3412284929798,18.260342565431298,-11.78767003291741,1.858450151217256
huc01,01144000,source_only,0.4602796770205233,0.014734383599644917,0.6847806479205022,0.007455323169651518,1324.302881617951,18.135048830767662,-0.16299341531631897,0.9167752816858515
huc01,01144000,finetune_lstm,0.6033196716213559,0.003758398432153454,0.6322383965079145,0.0047526335364484265,1135.3955116782834,5.373725427224672,-9.984391643476805,0.6590499655544231
huc01,01144000,regional_lstm,0.6338051451805496,0.0064360988431255,0.7132105273869751,0.012600287731687507,1090.8749423677384,9.611035936738768,-4.7774218253016,0.23578166190702168
huc01,01144000,daf_shared_v,0.6371787773987697,0.013684884400273364,0.6960055516580671,0.049929643644630456,1085.7380933422858,20.449744948308716,-7.292937647243506,4.46743960426305
huc01,01144000,daf,0.6407618072521849,0.008814843415626319,0.6912805670812441,0.01958921679716338,1080.4372528272313,13.25441050679303,-7.962863968496321,0.880878956101407
huc01,01169000,local_lstm,0.25947605996249323,0.019504761713837856,0.2440190396857712,0.038011763828124996,342.4554275858366,4.521204301967575,-22.847450634087718,4.293736935922782
huc01,01169000,source_only,0.10211666422063397,0.03508859144950877,0.42304359955203474,0.02097627182448381,377.06368381781766,7.348935407432067,6.154031705563074,16.605387320545933
huc01,01169000,finetune_lstm,0.33599409519336815,0.009929441914882722,0.34612593904950417,0.010836681713862376,324.29300500491325,2.4292329300293476,-18.899273908172727,0.916344323455283
huc01,01169000,regional_lstm,0.3729951970499987,0.007351569374173253,0.431723180798726,0.024027652625851603,315.13031207265226,1.8497284656205202,-11.915918660424845,1.5269303662610085
huc01,01169000,daf_shared_v,0.3823149945151685,0.005388961159415703,0.44248925143129797,0.015422616921715612,312.78110145702817,1.3652577805681452,-11.66596582739399,1.7485545683543584
huc01,01169000,daf,0.37188092278756074,0.01199384241966141,0.4052289939894393,0.04825954587548848,315.40428504869897,3.0045184858512077,-16.992816448465735,5.1023658830366685
huc03,02143040,local_lstm,0.2518132370235167,0.006214595565131955,0.22257530257166372,0.006121699993499868,67.26916737677386,0.2795553227087809,-17.073713650652568,0.5987979663011949
huc03,02143040,source_only,-0.1208547617018087,0.28299672922786767,0.13221980495084498,0.08455709154446121,81.91210702662269,10.21580938690587,49.89074716854493,25.231847243339228
huc03,02143040,finetune_lstm,0.2723876768233699,0.004237128639964553,0.25502484690442245,0.005741935690498079,66.3379941919809,0.19330273754016125,-14.725056731059484,0.49245970941291983
