seed,source,target,model,target_fraction,NSE,KGE,RMSE,PBIAS,R2,camels_group
42,01013500,01022500,local_lstm,0.3,0.7920573147837753,0.7161701483397103,314.0512663228724,-9.871355323645869,0.7920573147837753,huc01
42,01013500,01022500,source_only,0.3,0.5443350118880658,0.7106380520374591,464.8914457532892,16.4870157709661,0.5443350118880658,huc01
42,01013500,01022500,finetune_lstm,0.3,0.8509516304435287,0.7979735115570051,265.8840833074548,-7.470594017554526,0.8509516304435287,huc01
42,01013500,01022500,regional_lstm,0.3,0.8552261887300197,0.8843180230519466,262.04370354728627,-2.669144585338831,0.8552261887300197,huc01
42,01013500,01022500,daf_shared_v,0.3,0.8410856337479882,0.8102363575273368,274.5429558265824,-5.873113151332382,0.8410856337479882,huc01
42,01013500,01022500,daf,0.3,0.8516659734208545,0.8757419402015689,265.2461677530558,2.389373939124839,0.8516659734208545,huc01
42,01013500,01169000,local_lstm,0.3,0.2809721425770225,0.2854557895843361,337.4679953574531,-17.937123463000884,0.2809721425770225,huc01
42,01013500,01169000,source_only,0.3,0.0639954858226309,0.4428546851168766,385.0336665596742,24.02105612409782,0.0639954858226309,huc01
42,01013500,01169000,finetune_lstm,0.3,0.3472526981835462,0.3586325775971848,321.53797774177394,-18.04608262876721,0.3472526981835462,huc01
42,01013500,01169000,regional_lstm,0.3,0.3812038602182169,0.4539486200282621,313.0642893223951,-10.797123893565445,0.3812038602182169,huc01
42,01013500,01169000,daf_shared_v,0.3,0.3881407133658974,0.4601879516561381,311.3045808479947,-9.693231996195022,0.3881407133658974,huc01
42,01013500,01169000,daf,0.3,0.380927489501526,0.448225256234562,313.1341929125069,-13.192327198948698,0.380927489501526,huc01
43,01013500,01022500,local_lstm,0.3,0.7766895848726484,0.6966498379412878,325.4492045927059,-10.319154322603223,0.7766895848726484,huc01
43,01013500,01022500,source_only,0.3,0.5755479225863207,0.7843024653297725,448.6865557899637,-6.221827276985359,0.5755479225863207,huc01
43,01013500,01022500,finetune_lstm,0.3,0.8346619151052508,0.7712691740363153,280.0368452376384,-8.308974217458545,0.8346619151052508,huc01
43,01013500,01022500,regional_lstm,0.3,0.8507719294389123,0.8712827566263968,266.0443173450766,-1.5180205413011638,0.8507719294389123,huc01
43,01013500,01022500,daf_shared_v,0.3,0.8468384233412489,0.805692860377657,269.52784515676683,-5.787062673307005,0.8468384233412489,huc01
43,01013500,01022500,daf,0.3,0.8468213679243421,0.7944777695592137,269.5428514719977,-7.112599181134506,0.8468213679243421,huc01
43,01013500,01169000,local_lstm,0.3,0.254548203676823,0.2358362543798996,343.6129445511024,-24.708735292936183,0.254548203676823,huc01
43,01013500,01169000,source_only,0.3,0.1330638453648172,0.4010697243988378,370.5555232207988,-8.805753554766618,0.1330638453648172,huc01
43,01013500,01169000,finetune_lstm,0.3,0.33224274757769,0.3395238150368618,325.2138555080628,-19.867843163182084,0.33224274757769,huc01
43,01013500,01169000,regional_lstm,0.3,0.3707640870241508,0.434992758601243,315.694113587386,-11.29517196551242,0.3707640870241508,huc01
43,01013500,01169000,daf_shared_v,0.3,0.3775082891927239,0.4353499073064184,313.9977381569977,-12.279929732875155,0.3775082891927239,huc01
43,01013500,01169000,daf,0.3,0.3764390478568631,0.4144306160062739,314.2672962135154,-14.994170371677775,0.3764390478568631,huc01
42,02472000,02143040,local_lstm,0.3,0.2585783715692644,0.2288233300961005,66.96473702609313,-17.00263146271514,0.2585783715692644,huc03
42,02472000,02143040,source_only,0.3,-0.0398020305025987,0.1841656866961339,79.3028641429591,49.176744970952086,-0.0398020305025987,huc03
42,02472000,02143040,finetune_lstm,0.3,0.2772290170834546,0.2614675617790083,66.11711523100237,-14.751162085202024,0.2772290170834546,huc03
42,02472000,02143040,regional_lstm,0.3,0.2733545056863105,0.2924981889447167,66.29409322899113,-13.263744151588122,0.2733545056863105,huc03
42,02472000,02143040,daf_shared_v,0.3,0.2646854026237165,0.256326964340806,66.68837514705339,-15.338894634092773,0.2646854026237165,huc03
42,02472000,02143040,daf,0.3,0.278312297849365,0.3180414239195933,66.06754886895189,-7.415055733559581,0.278312297849365,huc03
42,02472000,02469800,local_lstm,0.3,0.6541696197392222,0.5572705626016266,263.7105166537096,-16.477006279545673,0.6541696197392222,huc03
42,02472000,02469800,source_only,0.3,0.3027854741002679,0.6067978635596347,374.4372886965578,10.385819013610757,0.3027854741002679,huc03
42,02472000,02469800,finetune_lstm,0.3,0.6659208611015857,0.5687485720249765,259.1913819706195,-16.719300017974806,0.6659208611015857,huc03
42,02472000,02469800,regional_lstm,0.3,0.671566992746722,0.7392123302935061,256.99180633135666,-7.271541838411695,0.671566992746722,huc03
42,02472000,02469800,daf_shared_v,0.3,0.7037718962551371,0.6470249898335119,244.0669689754684,-15.438791017484744,0.7037718962551371,huc03
42,02472000,02469800,daf,0.3,0.6933751616141997,0.5936896882455018,248.3130501797991,-21.120754077379686,0.6933751616141997,huc03
43,02472000,02143040,local_lstm,0.3,0.2505033284228816,0.2223142985633279,67.32841589334282,-17.70488004324867,0.2505033284228816,huc03
43,02472000,02143040,source_only,0.3,-0.4355343505681346,0.0346499314781461,93.17949164490972,75.47201765136077,-0.4355343505681346,huc03
43,02472000,02143040,finetune_lstm,0.3,0.2705788297692002,0.2504476154842653,66.4205892513359,-14.22006356138888,0.2705788297692002,huc03
43,02472000,02143040,regional_lstm,0.3,0.2707846988183107,0.2981137791015436,66.41121544298947,-12.432157465516251,0.2707846988183107,huc03
43,02472000,02143040,daf_shared_v,0.3,0.2385065293490916,0.2028316075549425,67.86512199953214,-19.449412831998,0.2385065293490916,huc03
43,02472000,02143040,daf,0.3,0.2763373698323884,0.2781506638323647,66.1578853883137,-12.67856306794792,0.2763373698323884,huc03
43,02472000,02469800,local_lstm,0.3,0.5757852958511167,0.4138279670970581,292.0712016710883,-28.626185235134106,0.5757852958511167,huc03
43,02472000,02469800,source_only,0.3,0.1423966413550027,0.5123102110312807,415.2781824463467,12.128024273995432,0.1423966413550027,huc03
43,02472000,02469800,finetune_lstm,0.3,0.6647165639052959,0.5809693280354928,259.65813163929124,-13.532207791159296,0.6647165639052959,huc03
43,02472000,02469800,regional_lstm,0.3,0.6470467752142095,0.7291256332549306,266.41241268069854,-6.607166268644869,0.6470467752142095,huc03
43,02472000,02469800,daf_shared_v,0.3,0.6805984839414441,0.5294359209101112,253.43370058518207,-24.814911249620337,0.6805984839414441,huc03
43,02472000,02469800,daf,0.3,0.7023859078766789,0.6134770938865315,244.63727142688023,-17.563331687970578,0.7023859078766789,huc03
44,01013500,01022500,local_lstm,0.3,0.7745473821461509,0.6984827098766192,327.0064856276603,-10.587273689401671,0.7745473821461509,huc01
44,01013500,01022500,source_only,0.3,0.5692104411585278,0.7784898484804337,452.02380769700216,3.935855884747405,0.5692104411585278,huc01
44,01013500,01022500,finetune_lstm,0.3,0.8427957459973018,0.7898215958809383,273.0617517630554,-7.340972350289062,0.8427957459973018,huc01
44,01013500,01022500,regional_lstm,0.3,0.8511056235812247,0.8484866032137278,265.74669533900635,-2.736069121269685,0.8511056235812247,huc01
44,01013500,01022500,daf_shared_v,0.3,0.8532041562126866,0.8767429525343368,263.8673192031154,0.7161969580890226,0.8532041562126866,huc01
44,01013500,01022500,daf,0.3,0.8492105334376661,0.833210180728195,267.4325266132209,-1.0697610671209894,0.8492105334376661,huc01
44,01013500,01169000,local_lstm,0.3,0.2429078336336341,0.2107650750930779,346.28534284895454,-25.896493146326087,0.2429078336336341,huc01
44,01013500,01169000,source_only,0.3,0.1092906614744538,0.4252063891403899,375.60186167298,3.24679254735802,0.1092906614744538,huc01
44,01013500,01169000,finetune_lstm,0.3,0.3284868398188681,0.3402214245144659,326.12718176490296,-18.783895932568893,0.3284868398188681,huc01
44,01013500,01169000,regional_lstm,0.3,0.3670176439076282,0.406228163766673,316.63253330817565,-13.655460122196676,0.3670176439076282,huc01
44,01013500,01169000,daf_shared_v,0.3,0.3812959809868842,0.4319298953313375,313.0409853660922,-13.024735753111788,0.3812959809868842,huc01
44,01013500,01169000,daf,0.3,0.358276231004293,0.353031109727482,318.8113660200746,-22.791951774770737,0.358276231004293,huc01
44,02472000,02143040,local_lstm,0.3,0.2463580110784041,0.2165882790555628,67.51434921088563,-16.51362944599389,0.2463580110784041,huc03
44,02472000,02143040,source_only,0.3,0.1127720959653072,0.177843796678255,73.25396529199926,25.02347888332192,0.1127720959653072,huc03
44,02472000,02143040,finetune_lstm,0.3,0.2693551836174549,0.2531593634499937,66.47627809360444,-15.20394454658755,0.2693551836174549,huc03
44,02472000,02143040,regional_lstm,0.3,0.2686008882209401,0.2843229665675384,66.51058328173018,-13.5611600308617,0.2686008882209401,huc03
44,02472000,02143040,daf_shared_v,0.3,0.251079796969906,0.2076813543178427,67.30251839336808,-20.72153110795067,0.251079796969906,huc03
44,02472000,02143040,daf,0.3,0.2604437257930446,0.254227563645039,66.88044516241816,-14.269159756140343,0.2604437257930446,huc03
44,02472000,02469800,local_lstm,0.3,0.5643282547256193,0.4495118026961274,295.9890032604773,-19.49866992345208,0.5643282547256193,huc03
44,02472000,02469800,source_only,0.3,0.2154593653869174,0.5960294794045637,397.1948416587073,1.5645323631732742,0.2154593653869174,huc03
44,02472000,02469800,finetune_lstm,0.3,0.6376833625403047,0.5197560198117124,269.923077647908,-19.5676587392391,0.6376833625403047,huc03
44,02472000,02469800,regional_lstm,0.3,0.6520385598419141,0.6752280909142587,264.52178113416227,-12.970426931312556,0.6520385598419141,huc03
44,02472000,02469800,daf_shared_v,0.3,0.7087392304430891,0.6130223942204263,242.01198557584863,-16.427527683318992,0.7087392304430891,huc03
44,02472000,02469800,daf,0.3,0.6627782924661992,0.5274863716034626,260.4075910595742,-22.39829357160264,0.6627782924661992,huc03
42,01013500,01144000,local_lstm,0.3,0.5406466369480685,0.5597454137171713,1221.8096023324924,-11.078585467440083,0.5406466369480685,huc01
