camels_group,target,model,NSE,KGE,RMSE,PBIAS
huc03,02361000,local_lstm,0.595 +/- 0.011,0.530 +/- 0.024,772.352 +/- 10.635,-10.634 +/- 2.820
huc03,02361000,source_only,0.675 +/- 0.012,0.755 +/- 0.035,692.253 +/- 12.997,7.433 +/- 3.107
huc03,02361000,finetune_lstm,0.706 +/- 0.013,0.635 +/- 0.009,658.447 +/- 14.904,-7.585 +/- 0.696
huc03,02361000,regional_lstm,0.780 +/- 0.009,0.806 +/- 0.035,568.925 +/- 11.825,-3.329 +/- 3.775
huc03,02361000,daf_shared_v,0.709 +/- 0.009,0.666 +/- 0.012,655.062 +/- 10.007,-5.421 +/- 2.661
huc03,02361000,daf,0.701 +/- 0.018,0.611 +/- 0.024,663.482 +/- 20.103,-12.161 +/- 1.107
