model,NSE,KGE,RMSE,PBIAS
local_lstm,0.463 +/- 0.200,0.421 +/- 0.180,380.932 +/- 411.786,-16.240 +/- 5.583
source_only,0.129 +/- 0.387,0.270 +/- 0.600,447.837 +/- 433.834,42.222 +/- 68.731
finetune_lstm,0.539 +/- 0.199,0.534 +/- 0.186,348.745 +/- 378.919,-12.238 +/- 5.123
regional_lstm,0.538 +/- 0.202,0.591 +/- 0.200,338.782 +/- 362.652,-7.882 +/- 4.211
daf_shared_v,0.564 +/- 0.204,0.580 +/- 0.207,335.106 +/- 361.827,-9.889 +/- 8.058
daf,0.567 +/- 0.199,0.584 +/- 0.196,334.870 +/- 359.890,-9.400 +/- 8.663
